dataset,test_fold
auto93,1
auto93,2
auto93,3
auto93,4
auto93,5
autohorse,1
autohorse,2
autohorse,3
autohorse,4
autohorse,5
autompg,1
autompg,2
autompg,3
autompg,4
autompg,5
autoprice,1
autoprice,2
autoprice,3
autoprice,4
autoprice,5
baskball,1
baskball,2
baskball,3
baskball,4
baskball,5
bodyfat,1
bodyfat,2
bodyfat,3
bodyfat,4
bodyfat,5
breasttumor,1
breasttumor,2
breasttumor,3
breasttumor,4
breasttumor,5
cholesterol,1
cholesterol,2
cholesterol,3
cholesterol,4
cholesterol,5
cleveland,1
cleveland,2
cleveland,3
cleveland,4
cleveland,5
cloud,1
cloud,2
cloud,3
cloud,4
cloud,5
cpu,1
cpu,2
cpu,3
cpu,4
cpu,5
echomonths,1
echomonths,2
echomonths,3
echomonths,4
echomonths,5
elusage,1
elusage,2
elusage,3
elusage,4
elusage,5
fishcatch,1
fishcatch,2
fishcatch,3
fishcatch,4
fishcatch,5
fruitfly,1
fruitfly,2
fruitfly,3
fruitfly,4
fruitfly,5
housing,1
housing,2
housing,3
housing,4
housing,5
lowbwt,1
lowbwt,2
lowbwt,3
lowbwt,4
lowbwt,5
lymphoma.mkatayama,1
lymphoma.mkatayama,2
lymphoma.mkatayama,3
lymphoma.mkatayama,4
lymphoma.mkatayama,5
lymphoma.tdh,1
lymphoma.tdh,2
lymphoma.tdh,3
lymphoma.tdh,4
lymphoma.tdh,5
machine.cpu,1
machine.cpu,2
machine.cpu,3
machine.cpu,4
machine.cpu,5
mbagrade,1
mbagrade,2
mbagrade,3
mbagrade,4
mbagrade,5
meta,1
meta,2
meta,3
meta,4
meta,5
pbc,1
pbc,2
pbc,3
pbc,4
pbc,5
pharynx,1
pharynx,2
pharynx,3
pharynx,4
pharynx,5
pollution,1
pollution,2
pollution,3
pollution,4
pollution,5
pwlinear,1
pwlinear,2
pwlinear,3
pwlinear,4
pwlinear,5
pyrim,1
pyrim,2
pyrim,3
pyrim,4
pyrim,5
sensory,1
sensory,2
sensory,3
sensory,4
sensory,5
servo,1
servo,2
servo,3
servo,4
servo,5
simulated.abs,1
simulated.abs,2
simulated.abs,3
simulated.abs,4
simulated.abs,5
simulated.linear,1
simulated.linear,2
simulated.linear,3
simulated.linear,4
simulated.linear,5
simulated.sin,1
simulated.sin,2
simulated.sin,3
simulated.sin,4
simulated.sin,5
sleep,1
sleep,2
sleep,3
sleep,4
sleep,5
stock,1
stock,2
stock,3
stock,4
stock,5
strike,1
strike,2
strike,3
strike,4
strike,5
triazines,1
triazines,2
triazines,3
triazines,4
triazines,5
veteran,1
veteran,2
veteran,3
veteran,4
veteran,5
vineyard,1
vineyard,2
vineyard,3
vineyard,4
vineyard,5
wisconsin,1
wisconsin,2
wisconsin,3
wisconsin,4
wisconsin,5
